Long Term Days, Short Term Days, ICAGR, Max. Draw Down, Bliss,  Sharpe Ratio
60,85,0.00893555482423643,30.4103529520466,0.0293832657527084,-2.21537389305851
60,90,0.010088917462429,29.2373215998195,0.0345069825496303,-2.32568709703522
60,95,0.0178731060493851,34.3006911346199,0.0521071309590776,-1.19015704370313
60,100,0.0183208947462813,29.498043477745,0.0621088471854196,-1.43279963554639
60,105,0.0185145238234353,29.3374980626855,0.0631087347117169,-1.4641079104121
80,5,-0.0576326884431727,98.5603718218879,-0.0584745038780118,-0.734652747805018
80,10,-0.0209809491168822,90.3711996565574,-0.0232164109767462,-1.01235348435006
80,15,0.011056530835129,67.1378001915407,0.0164684139241758,-0.661480036787279
80,20,0.00280144477549728,59.4294996825469,0.00471389594471043,-1.02206554373868
80,25,0.00221797561704026,63.4879888558986,0.00349353579631337,-0.954307102977681
80,30,0.0129322122631632,52.4835521344443,0.0246405049529335,-1.02990181998185
80,35,0.00809060396767583,59.5169891438666,0.0135937722725169,-1.07814043449098
